trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 4.95}",25,0,-73.02247465985317,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 4.9}",20,0,-113.6006208079676,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.1, 'e': 4.8500000000000005}",20,5,-26.522702036391106,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.1, 'e': 4.800000000000001}",20,0,-122.67219871567742,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.1, 'e': 4.750000000000001}",20,0,-42.324078769620535,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.1, 'e': 4.700000000000001}",20,0,-85.34634715375279,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': 4.650000000000001}",20,0,-110.5266844771122,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.1, 'e': 4.600000000000001}",25,0,-99.28503459542812,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.1, 'e': 4.550000000000002}",20,0,-134.7999944531478,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 4.500000000000002}",25,0,-145.1378463026048,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.1, 'e': 4.450000000000002}",30,0,-149.3684584790446,"{0: 19, 1: 6, 2: 2, 3: 0, 4: 3}",0
12,False,"{'a': 0.1, 'e': 4.400000000000002}",25,0,-122.32863060559632,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.1, 'e': 4.350000000000002}",30,0,-188.48914626557539,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
14,False,"{'a': 0.1, 'e': 4.3000000000000025}",20,0,-108.09545599111787,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.1, 'e': 4.250000000000003}",20,0,-80.94905958587394,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.1, 'e': 4.200000000000003}",20,0,-184.06599074785015,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
17,False,"{'a': 0.1, 'e': 4.150000000000003}",20,0,-70.8384454680981,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 4.100000000000003}",20,0,-41.18450035268731,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.1, 'e': 4.050000000000003}",20,0,-132.43886773561866,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.1, 'e': 4.0000000000000036}",20,0,-8.443276906531924,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
