trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.87382262376502,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.51023379979657,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.3372114856442,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,6,-142.39446865348128,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.79442517740189,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.99286563041508,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.59729762227529,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.56106918345296,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.51342609586936,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-73.02585575138744,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.2390344928502,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.01192467703814,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-234.51073631418012,"{0: 17, 1: 4, 2: 10, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.94862029743273,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.1282834316765,"{0: 11, 1: 1, 2: 10, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.291609778586,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,6,-60.16523799634915,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.18721353961314,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.28305623645403,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.44291029749562,"{0: 8, 1: 6, 2: 9, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-180.00563769247248,"{0: 21, 1: 1, 2: 8, 3: 4, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-255.2939437035231,"{0: 8, 1: 2, 2: 3, 3: 3, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-44.32109135674487,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-211.4654839731599,"{0: 16, 1: 3, 2: 5, 3: 4, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.8431142093483,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.98199376566242,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.50034788549736,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.44271975457427,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-228.02689832608468,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-136.520948530394,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
